name,winrate_ranked,winrate_unranked,playrate,kills,deaths,suicides,damage_dealt,damage_taken
Ulgrim,56.74%,57.62%,1.12%,2.49,2.1,0.18,467.37,406.06
Scarlet,56.73%,57.57%,1.1%,2.54,2.13,0.17,456.88,401.14
Teros,56.68%,56.69%,1.18%,2.65,2.17,0.17,449.68,412.85
Orion,56.05%,56.14%,1.41%,2.48,2.14,0.18,495.02,411.58
Sir Roland,55.89%,55.9%,1.05%,2.37,2.11,0.17,459.35,407.19
Gnash,55.44%,56.11%,0.98%,2.5,2.15,0.16,466,418.67
Queen Nai,55.31%,55%,1.41%,2.48,2.15,0.18,493.87,412.88
Brynn,55.08%,55.51%,1.28%,2.46,2.15,0.15,479.44,419.79
Lord Vraxx,54.86%,54.73%,0.97%,2.46,2.16,0.17,466.1,412.32
Zariel,54.72%,54.48%,0.94%,2.36,2.13,0.18,463.39,408.24
Sentinel,54.68%,54.9%,1.01%,2.38,2.14,0.19,451.78,414.54
Azoth,54%,53.89%,1.12%,2.37,2.16,0.16,474.62,415.86
Jaeyun,53.86%,55.25%,0.46%,2.44,2.17,0.14,484.55,423.08
Ragnir,53.86%,54.05%,1.26%,2.34,2.16,0.18,450.43,415.72
Kor,53.84%,54.17%,1.24%,2.4,2.18,0.19,443.82,412.93
Rayman,53.77%,54.27%,0.94%,2.31,2.12,0.19,449.62,406.85
Vector,53.67%,56.66%,0.48%,2.48,2.08,0.18,463.45,396.64
Barraza,53.46%,55.56%,1.06%,2.48,2.14,0.18,464.44,410.58
Wu Shang,53.25%,53.53%,1.37%,2.36,2.18,0.17,456.56,420.18
Ember,53.15%,52.1%,1.31%,2.36,2.22,0.18,463.58,421.23
Thor,53.07%,54.77%,0.79%,2.35,2.13,0.16,453.59,412.51
Artemis,53.06%,52.98%,1.31%,2.26,2.19,0.21,434.7,412.09
Kaya,52.79%,52.27%,1.05%,2.2,2.17,0.17,469.69,422.86
Diana,52.73%,52.98%,1.18%,2.36,2.2,0.17,453.02,419.45
Sidra,52.72%,53.23%,1.07%,2.31,2.16,0.2,443.64,412.47
Onyx,52.66%,55.48%,0.48%,2.37,2.14,0.22,451.57,403.51
Xull,52.4%,53.29%,1.2%,2.42,2.22,0.19,471.07,418.33
Ada,52.11%,52.81%,1.21%,2.45,2.21,0.16,462.08,422.46
Caspian,52.11%,51.54%,1.04%,2.24,2.21,0.2,449,419.86
Cassidy,52.03%,52.62%,1.12%,2.41,2.22,0.17,466.05,416.86
Thatch,52.03%,51.54%,0.92%,2.42,2.23,0.16,448.37,423.85
Jhala,51.96%,53.06%,1.17%,2.44,2.21,0.16,450.93,418.53
Mako,51.92%,55.08%,0.33%,2.41,2.16,0.17,540.27,405.74
Val,51.78%,52.21%,1.43%,2.31,2.2,0.19,441.2,423.9
Cross,51.47%,52.28%,1.15%,2.42,2.22,0.18,449.62,427.61
Asuri,51.06%,51.74%,1.25%,2.26,2.2,0.19,426.98,419
Yumiko,51%,51.4%,1.16%,2.29,2.24,0.18,446.03,421.76
Petra,50.99%,52.46%,0.86%,2.26,2.18,0.16,461.66,418.25
Volkov,50.88%,53.33%,0.58%,2.25,2.17,0.2,439.1,406.84
Mordex,50.82%,51.68%,1.47%,2.23,2.23,0.22,435.2,417.28
Fait,50.68%,51.82%,0.93%,2.19,2.19,0.19,450.56,415.21
Dusk,50.67%,51.39%,0.91%,2.24,2.2,0.14,470.53,426.83
Mirage,50.63%,51.05%,1.5%,2.24,2.24,0.2,458.23,422.8
Lucien,50.53%,51.67%,1.08%,2.19,2.19,0.19,448.64,424.58
Hattori,50.48%,51.33%,1.26%,2.21,2.23,0.17,453.49,431.49
Bödvar,50.31%,52.13%,1.33%,2.36,2.23,0.18,435.41,422.73
Nix,50.24%,51.65%,1.38%,2.26,2.22,0.21,433.73,419.59
Koji,50.12%,50.28%,1.2%,2.2,2.24,0.16,448.42,429.53
Isaiah,48.77%,51.16%,0.94%,2.24,2.2,0.19,451.07,417.2
Magyar,47.84%,54.23%,0.14%,2.4,2.19,0.17,460.23,414.33
Jiro,46.98%,47.95%,1.16%,2.14,2.27,0.2,413.8,426.16
Lin Fei,46.42%,48.93%,0.9%,2.18,2.24,0.21,443.63,419.39
